length,entropy,mean,std,median,chi2_stat,chi2_p_value,unique_bytes,unique_ratio,max_freq,min_freq,freq_range,freq_std,mod_8,mod_16,is_mod_8,is_mod_16,first_byte,starts_with_0x30,is_der,autocorr_1,autocorr_2,autocorr_8,bit_entropy,nibble_chi2,rep_8,rep_16,algorithm
112,4.591673,144.3214,68.9328,155.0,1241.1429,0.0,32,0.125,6,0,6,1.4564,0,0,1,1,249,0,0,-0.151283,0.030219,-0.016367,0.979799,41.0,10,5,AES
108,6.407575,121.7222,73.4148,123.0,242.8148,0.698038,90,0.3516,3,0,3,0.6326,4,12,0,0,190,0,0,-0.134576,0.029186,-0.219037,0.990188,17.037,0,0,AES
108,6.314982,120.3981,72.1307,114.5,276.0,0.174931,86,0.3359,4,0,4,0.6744,4,12,0,0,105,0,0,-0.091542,0.100506,0.067502,0.994981,7.8519,0,0,AES
112,4.517714,109.875,79.0965,92.0,1296.0,0.0,30,0.1172,7,0,7,1.4882,0,0,1,1,35,0,0,0.137316,-0.068026,-0.100967,0.977455,137.7143,10,5,AES
112,4.411836,101.4911,78.2756,86.5,1442.2857,0.0,28,0.1094,12,0,12,1.57,0,0,1,1,77,0,0,-0.315668,0.019751,-0.29439,0.971789,77.0,10,5,AES
112,4.517714,132.7589,80.3137,138.5,1296.0,0.0,30,0.1172,7,0,7,1.4882,0,0,1,1,122,0,0,-0.42769,0.197627,-0.190718,0.974539,123.4286,10,5,AES
108,6.333501,135.8981,68.1814,137.0,271.2593,0.231295,87,0.3398,4,0,4,0.6686,4,12,0,0,220,0,0,0.112709,-0.089228,0.031011,0.995074,14.6667,0,0,AES
128,6.56633,126.875,76.8631,125.5,244.0,0.678905,101,0.3945,3,0,3,0.6903,0,0,1,1,67,0,0,-0.153188,-0.05903,0.010809,0.999427,11.125,0,0,AES
128,6.529182,126.1641,75.2048,129.5,256.0,0.470609,99,0.3867,3,0,3,0.7071,0,0,1,1,189,0,0,-0.166805,-0.010229,-0.060718,0.995701,18.25,0,0,AES
128,6.638557,132.5234,74.5218,130.5,228.0,0.887013,106,0.4141,3,0,3,0.6673,0,0,1,1,83,0,0,0.055923,-0.019853,0.039672,0.997134,13.75,0,0,AES
108,6.321972,133.0648,71.9743,127.0,261.7778,0.371846,85,0.332,3,0,3,0.6568,4,12,0,0,212,0,0,0.145117,0.011583,-0.124431,0.991175,12.0,0,0,AES
128,6.669807,137.8203,69.8792,141.5,220.0,0.944882,108,0.4219,3,0,3,0.6555,0,0,1,1,171,0,0,-0.005265,-0.078676,0.139965,0.992873,12.25,0,0,AES
112,4.480734,114.8571,72.6882,100.0,1323.4286,0.0,29,0.1133,7,0,7,1.5039,0,0,1,1,186,0,0,-0.079433,-0.39689,-0.323227,0.970082,50.0,10,5,AES
128,6.527115,138.7266,70.3086,141.0,264.0,0.336012,100,0.3906,3,0,3,0.7181,0,0,1,1,53,0,0,-0.000125,-0.006796,-0.035148,0.995013,16.25,0,0,AES
108,6.352019,120.8426,75.5434,111.5,257.037,0.452452,87,0.3398,3,0,3,0.6508,4,12,0,0,100,0,0,-0.172319,-0.139845,-0.091041,0.982976,26.2222,0,0,AES
160,4.327183,118.4313,63.6185,126.0,2227.2,0.0,30,0.1172,18,0,18,2.3318,0,0,1,1,23,0,0,0.176297,-0.213681,0.401163,0.992379,138.8,16,8,AES
158,6.692836,127.4367,72.803,128.0,272.9873,0.209587,113,0.4414,4,0,4,0.8113,6,14,0,0,121,0,0,-0.048463,-0.110881,-0.061907,0.994854,15.1392,0,0,AES
176,6.879664,127.983,71.7992,131.5,242.9091,0.696533,128,0.5,3,0,3,0.8077,0,0,1,1,150,0,0,-0.038418,-0.11867,-0.014882,0.9969,13.1818,0,0,AES
176,6.767309,122.5682,74.5164,121.0,286.5455,0.084982,121,0.4727,4,0,4,0.8772,0,0,1,1,223,0,0,-0.013959,-0.093924,0.038416,0.989925,19.6364,0,0,AES
176,6.888242,125.8182,72.9055,126.5,242.9091,0.696533,129,0.5039,4,0,4,0.8077,0,0,1,1,197,0,0,-0.045053,0.020856,-0.09315,0.997995,10.0,0,0,AES
176,6.929408,130.2102,75.9656,124.0,228.3636,0.883654,132,0.5156,3,0,3,0.7831,0,0,1,1,20,0,0,-0.135594,-0.003366,0.120113,0.99692,12.2727,0,0,AES
160,4.302183,122.5,82.9964,159.0,2233.6,0.0,28,0.1094,18,0,18,2.3352,0,0,1,1,159,0,0,-0.16173,0.197469,-0.301837,0.964669,117.3,16,8,AES
160,4.351747,130.7,81.1701,103.0,2054.4,0.0,28,0.1094,10,0,10,2.2396,0,0,1,1,246,0,0,-0.177897,-0.148468,0.337497,0.969427,147.4,16,8,AES
176,6.94506,126.1023,72.0003,124.5,222.5455,0.929651,133,0.5195,3,0,3,0.7731,0,0,1,1,113,0,0,-0.019245,-0.01635,-0.039204,0.997482,15.3636,0,0,AES
176,6.78168,120.0966,73.2486,117.0,283.6364,0.105154,122,0.4766,4,0,4,0.8728,0,0,1,1,106,0,0,-0.125964,-0.072969,-0.078536,0.997307,21.0909,0,0,AES
160,4.468996,115.5938,76.1119,98.0,1939.2,0.0,32,0.125,9,0,9,2.1759,0,0,1,1,55,0,0,0.128683,-0.44785,-0.142573,0.968841,180.1,16,8,AES
